unigram	count	topics_list_with_scores
refineries	6	[(0.6666666666666666, 75), (0.3333333333333333, 64)]
zadorozhny/hou/ect@ect	14	[(0.7142857142857143, 14), (0.14285714285714285, 173), (0.14285714285714285, 103)]
anshuman	121	[(1.0, 15)]
energy-america	6	[(1.0, 147)]
taliban	8	[(1.0, 8)]
routinely	7	[(0.42857142857142855, 27), (0.2857142857142857, 188), (0.2857142857142857, 165)]
mfg	14	[(1.0, 47)]
miertschin/hou/ect@ect	20	[(0.5, 90), (0.4, 159), (0.1, 124)]
fishing	6	[(0.3333333333333333, 153), (0.3333333333333333, 16), (0.3333333333333333, 1)]
rapid	23	[(0.782608695652174, 192), (0.13043478260869565, 174), (0.08695652173913043, 99)]
preprint	16	[(1.0, 31)]
capabilities	95	[(0.21052631578947367, 169), (0.17894736842105263, 19), (0.15789473684210525, 192), (0.15789473684210525, 131), (0.08421052631578947, 100), (0.042105263157894736, 168), (0.042105263157894736, 55), (0.042105263157894736, 52), (0.042105263157894736, 2), (0.031578947368421054, 41), (0.010526315789473684, 145)]
nicki	49	[(0.5102040816326531, 148), (0.24489795918367346, 44), (0.14285714285714285, 114), (0.10204081632653061, 97)]
myth	5	[(0.4, 136), (0.4, 98), (0.2, 133)]
who's	32	[(0.375, 190), (0.25, 76), (0.1875, 75), (0.125, 166), (0.0625, 99)]
kellogg	10	[(0.8, 167), (0.1, 156), (0.1, 44)]
presume	9	[(0.4444444444444444, 172), (0.3333333333333333, 149), (0.2222222222222222, 113)]
who'd	7	[(0.42857142857142855, 89), (0.2857142857142857, 185), (0.2857142857142857, 8)]
helpful	140	[(0.22142857142857142, 170), (0.07142857142857142, 35), (0.06428571428571428, 112), (0.05714285714285714, 92), (0.05, 196), (0.05, 156), (0.04285714285714286, 184), (0.04285714285714286, 96), (0.04285714285714286, 55), (0.04285714285714286, 39), (0.03571428571428571, 52), (0.02857142857142857, 192), (0.02857142857142857, 180), (0.02857142857142857, 123), (0.02857142857142857, 115), (0.02857142857142857, 113), (0.02857142857142857, 71), (0.02857142857142857, 67), (0.02142857142857143, 176), (0.014285714285714285, 193), (0.014285714285714285, 150), (0.014285714285714285, 65), (0.014285714285714285, 40)]
unsuccessful	6	[(0.3333333333333333, 95), (0.3333333333333333, 88), (0.3333333333333333, 8)]
iris.mack@enron.com	9	[(0.6666666666666666, 160), (0.3333333333333333, 174)]
growth	243	[(0.30864197530864196, 192), (0.27983539094650206, 41), (0.17695473251028807, 165), (0.053497942386831275, 34), (0.037037037037037035, 110), (0.02880658436213992, 27), (0.02880658436213992, 19), (0.0205761316872428, 74), (0.01646090534979424, 193), (0.01646090534979424, 166), (0.01646090534979424, 129), (0.01646090534979424, 112)]
volunteered	6	[(0.6666666666666666, 140), (0.3333333333333333, 148)]
billio	8	[(1.0, 169)]
mines	5	[(0.4, 125), (0.4, 23), (0.2, 4)]
bosses	23	[(0.8695652173913043, 8), (0.13043478260869565, 28)]
sbrush	8	[(1.0, 103)]
iijournals	18	[(1.0, 194)]
analysed	8	[(1.0, 121)]
analyses	73	[(0.3835616438356164, 178), (0.1232876712328767, 192), (0.1095890410958904, 170), (0.1095890410958904, 99), (0.0821917808219178, 196), (0.0684931506849315, 43), (0.0547945205479452, 39), (0.0410958904109589, 88), (0.0273972602739726, 164)]
mccarty	10	[(0.8, 137), (0.2, 134)]
http://security.debian.org/dists/stable/updates/main/source/ntop	6	[(1.0, 58)]
raise	76	[(0.10526315789473684, 165), (0.10526315789473684, 114), (0.10526315789473684, 37), (0.09210526315789473, 187), (0.07894736842105263, 112), (0.07894736842105263, 50), (0.07894736842105263, 27), (0.06578947368421052, 45), (0.06578947368421052, 43), (0.05263157894736842, 194), (0.039473684210526314, 28), (0.02631578947368421, 167), (0.02631578947368421, 151), (0.02631578947368421, 99), (0.02631578947368421, 32), (0.013157894736842105, 52), (0.013157894736842105, 44)]
extension	89	[(0.25842696629213485, 80), (0.12359550561797752, 5), (0.0898876404494382, 34), (0.07865168539325842, 179), (0.06741573033707865, 141), (0.06741573033707865, 107), (0.06741573033707865, 22), (0.056179775280898875, 4), (0.0449438202247191, 96), (0.0449438202247191, 86), (0.0449438202247191, 0), (0.033707865168539325, 42), (0.02247191011235955, 136)]
column	90	[(0.4444444444444444, 53), (0.17777777777777778, 24), (0.08888888888888889, 66), (0.07777777777777778, 49), (0.06666666666666667, 16), (0.044444444444444446, 181), (0.03333333333333333, 78), (0.022222222222222223, 145), (0.022222222222222223, 138), (0.022222222222222223, 8)]
urged	14	[(0.42857142857142855, 34), (0.35714285714285715, 99), (0.14285714285714285, 187), (0.07142857142857142, 45)]
zipter/hou/ect@ect	10	[(0.4, 140), (0.2, 195), (0.2, 69), (0.2, 14)]
christian's	7	[(1.0, 59)]
urges	5	[(0.6, 34), (0.4, 58)]
owe	34	[(0.2647058823529412, 30), (0.23529411764705882, 112), (0.17647058823529413, 147), (0.17647058823529413, 113), (0.08823529411764706, 94), (0.058823529411764705, 88)]
sayrak	11	[(1.0, 124)]
mooney/lon/ect@ect	8	[(0.5, 95), (0.375, 199), (0.125, 83)]
texaco	10	[(1.0, 171)]
apps	6	[(1.0, 6)]
smoothing	21	[(0.38095238095238093, 42), (0.3333333333333333, 24), (0.19047619047619047, 85), (0.09523809523809523, 50)]
continental	95	[(0.21052631578947367, 40), (0.18947368421052632, 54), (0.16842105263157894, 100), (0.08421052631578947, 197), (0.06315789473684211, 108), (0.06315789473684211, 88), (0.06315789473684211, 20), (0.05263157894736842, 39), (0.031578947368421054, 78), (0.031578947368421054, 41), (0.031578947368421054, 11), (0.010526315789473684, 8)]
cygnifi	12	[(1.0, 106)]
certificate	40	[(0.75, 61), (0.1, 184), (0.1, 54), (0.05, 135)]
triggered	14	[(0.5, 101), (0.2857142857142857, 110), (0.14285714285714285, 28), (0.07142857142857142, 79)]
shane	175	[(0.5371428571428571, 26), (0.22857142857142856, 20), (0.2, 73), (0.022857142857142857, 6), (0.011428571428571429, 159)]
gobel@enron	14	[(1.0, 35)]
record	73	[(0.4794520547945205, 192), (0.0958904109589041, 181), (0.0958904109589041, 138), (0.0684931506849315, 194), (0.0684931506849315, 109), (0.0547945205479452, 83), (0.0547945205479452, 65), (0.0410958904109589, 141), (0.0273972602739726, 42), (0.0136986301369863, 187)]
demonstrate	32	[(0.21875, 195), (0.1875, 86), (0.15625, 79), (0.125, 168), (0.125, 76), (0.125, 12), (0.0625, 199)]
farnsworth	12	[(0.8333333333333334, 78), (0.16666666666666666, 108)]
visitor's	9	[(0.8888888888888888, 148), (0.1111111111111111, 92)]
cason	24	[(1.0, 130)]
contacting	129	[(0.23255813953488372, 190), (0.09302325581395349, 140), (0.06976744186046512, 182), (0.05426356589147287, 102), (0.05426356589147287, 36), (0.05426356589147287, 32), (0.046511627906976744, 181), (0.046511627906976744, 100), (0.046511627906976744, 47), (0.046511627906976744, 15), (0.03875968992248062, 178), (0.03875968992248062, 86), (0.031007751937984496, 174), (0.023255813953488372, 197), (0.023255813953488372, 87), (0.023255813953488372, 57), (0.023255813953488372, 3), (0.015503875968992248, 172), (0.015503875968992248, 119), (0.015503875968992248, 59), (0.007751937984496124, 63)]
groscrand/corp/enron@enron	10	[(1.0, 114)]
subroto	6	[(1.0, 43)]
priced	34	[(0.35294117647058826, 195), (0.29411764705882354, 41), (0.17647058823529413, 184), (0.08823529411764706, 54), (0.058823529411764705, 165), (0.029411764705882353, 101)]
newsclips	12	[(1.0, 136)]
jewel	8	[(0.5, 114), (0.25, 144), (0.25, 50)]
rodriguez/enron_development@enron_development	7	[(0.5714285714285714, 114), (0.2857142857142857, 140), (0.14285714285714285, 157)]
electrabel	15	[(1.0, 17)]
surbey/lon/ect	10	[(1.0, 37)]
sandrajackson@cmc.aust.com	6	[(0.6666666666666666, 59), (0.3333333333333333, 157)]
preface	34	[(1.0, 121)]
cyprus	44	[(1.0, 115)]
cox@enron	6	[(1.0, 63)]
aram.sogomonian@pacificorp.com	12	[(0.4166666666666667, 163), (0.3333333333333333, 43), (0.25, 157)]
propane	16	[(0.75, 41), (0.25, 155)]
hess/lon/ect@ect	8	[(0.75, 6), (0.25, 95)]
off-take	12	[(1.0, 136)]
hdafs	10	[(1.0, 62)]
basics	52	[(0.36538461538461536, 120), (0.28846153846153844, 63), (0.15384615384615385, 166), (0.07692307692307693, 160), (0.07692307692307693, 11), (0.038461538461538464, 92)]
coventry	8	[(0.5, 157), (0.5, 4)]
karin.s.thorburn@dartmouth.edu	8	[(1.0, 124)]
commented	11	[(0.45454545454545453, 2), (0.2727272727272727, 54), (0.18181818181818182, 8), (0.09090909090909091, 61)]
pitbull@wt.net	8	[(1.0, 103)]
jettke@rice.edu	12	[(1.0, 37)]
specially	10	[(0.6, 58), (0.4, 67)]
eupenn	16	[(0.6875, 153), (0.25, 177), (0.0625, 64)]
bonuses	11	[(0.7272727272727273, 123), (0.18181818181818182, 164), (0.09090909090909091, 73)]
pioneering	9	[(0.6666666666666666, 138), (0.3333333333333333, 191)]
baughman/hou/ect@ect	10	[(1.0, 97)]
atel	17	[(0.8823529411764706, 17), (0.11764705882352941, 54)]
e-mail(or	6	[(1.0, 76)]
culp	6	[(0.6666666666666666, 71), (0.3333333333333333, 62)]
elaborate	13	[(0.6923076923076923, 195), (0.3076923076923077, 6)]
karin	11	[(0.9090909090909091, 124), (0.09090909090909091, 152)]
pjm's	13	[(0.9230769230769231, 99), (0.07692307692307693, 133)]
missing	70	[(0.15714285714285714, 3), (0.14285714285714285, 192), (0.1, 186), (0.07142857142857142, 167), (0.07142857142857142, 118), (0.07142857142857142, 69), (0.05714285714285714, 115), (0.05714285714285714, 76), (0.05714285714285714, 37), (0.05714285714285714, 22), (0.04285714285714286, 0), (0.02857142857142857, 172), (0.02857142857142857, 113), (0.02857142857142857, 65), (0.02857142857142857, 2)]
criticism	16	[(0.375, 52), (0.25, 169), (0.125, 167), (0.125, 32), (0.125, 27)]
dgweir@iegsearch.com	6	[(1.0, 192)]
replace	43	[(0.27906976744186046, 34), (0.20930232558139536, 106), (0.16279069767441862, 194), (0.13953488372093023, 121), (0.06976744186046512, 69), (0.046511627906976744, 58), (0.046511627906976744, 23), (0.023255813953488372, 110), (0.023255813953488372, 108)]
in-addr.arpa	6	[(1.0, 104)]
derivatives	1091	[(0.1915673693858845, 121), (0.152153987167736, 151), (0.076076993583868, 106), (0.06232813932172319, 30), (0.04949587534372136, 29), (0.04766269477543538, 102), (0.045829514207149404, 158), (0.04032997250229148, 11), (0.031164069660861594, 57), (0.026581118240146653, 110), (0.025664527956003668, 41), (0.025664527956003668, 18), (0.022914757103574702, 198), (0.022914757103574702, 164), (0.022914757103574702, 3), (0.02016498625114574, 70), (0.01833180568285976, 139), (0.01833180568285976, 46), (0.013748854262144821, 196), (0.013748854262144821, 189), (0.01008249312557287, 119), (0.01008249312557287, 103), (0.007332722273143905, 167), (0.007332722273143905, 155), (0.007332722273143905, 153), (0.006416131989000917, 38), (0.005499541704857928, 51), (0.0036663611365719525, 133), (0.0036663611365719525, 31), (0.0036663611365719525, 14), (0.002749770852428964, 181), (0.002749770852428964, 34), (0.0018331805682859762, 161)]
browse	13	[(0.38461538461538464, 3), (0.3076923076923077, 189), (0.15384615384615385, 101), (0.15384615384615385, 55)]
asayrak@katz.pitt.edu	15	[(1.0, 124)]
gibner/hou/ect	56	[(0.8035714285714286, 33), (0.17857142857142858, 156), (0.017857142857142856, 42)]
symphony	6	[(0.6666666666666666, 71), (0.3333333333333333, 82)]
strike	45	[(0.8, 195), (0.1111111111111111, 109), (0.044444444444444446, 141), (0.044444444444444446, 42)]
m.sc	14	[(0.2857142857142857, 74), (0.2857142857142857, 67), (0.2857142857142857, 31), (0.14285714285714285, 196)]
paperwork	12	[(0.5, 149), (0.3333333333333333, 25), (0.16666666666666666, 72)]
standardized	9	[(0.4444444444444444, 72), (0.3333333333333333, 179), (0.2222222222222222, 24)]
shdh	48	[(1.0, 134)]
seleznov	12	[(1.0, 44)]
encountered	13	[(0.5384615384615384, 81), (0.3076923076923077, 193), (0.15384615384615385, 123)]
neubauer/et&s/enron@enron	12	[(0.8333333333333334, 144), (0.16666666666666666, 137)]
pursue	67	[(0.373134328358209, 18), (0.13432835820895522, 13), (0.1044776119402985, 0), (0.08955223880597014, 129), (0.08955223880597014, 95), (0.05970149253731343, 181), (0.05970149253731343, 136), (0.04477611940298507, 115), (0.029850746268656716, 132), (0.014925373134328358, 114)]
revenues	58	[(0.5172413793103449, 165), (0.1896551724137931, 132), (0.10344827586206896, 192), (0.08620689655172414, 110), (0.034482758620689655, 22), (0.034482758620689655, 13), (0.017241379310344827, 170), (0.017241379310344827, 6)]
czy	83	[(0.4939759036144578, 93), (0.21686746987951808, 147), (0.10843373493975904, 40), (0.0963855421686747, 116), (0.04819277108433735, 68), (0.03614457831325301, 143)]
currency	34	[(0.35294117647058826, 140), (0.17647058823529413, 8), (0.08823529411764706, 118), (0.08823529411764706, 101), (0.08823529411764706, 16), (0.08823529411764706, 6), (0.058823529411764705, 151), (0.058823529411764705, 92)]
caution	49	[(0.8979591836734694, 91), (0.061224489795918366, 122), (0.04081632653061224, 13)]
feature	104	[(0.19230769230769232, 194), (0.15384615384615385, 51), (0.14423076923076922, 50), (0.08653846153846154, 20), (0.07692307692307693, 53), (0.057692307692307696, 131), (0.057692307692307696, 70), (0.04807692307692308, 57), (0.038461538461538464, 88), (0.038461538461538464, 54), (0.028846153846153848, 75), (0.028846153846153848, 16), (0.028846153846153848, 3), (0.019230769230769232, 160)]
utilise	16	[(0.625, 119), (0.375, 180)]
typed	8	[(0.5, 76), (0.5, 26)]
cthomso@ppco.com	8	[(1.0, 82)]
goodnews@news-review.co.uk	6	[(1.0, 194)]
types	111	[(0.1891891891891892, 131), (0.14414414414414414, 190), (0.13513513513513514, 121), (0.0990990990990991, 127), (0.09009009009009009, 180), (0.07207207207207207, 32), (0.05405405405405406, 173), (0.05405405405405406, 150), (0.04504504504504504, 96), (0.04504504504504504, 76), (0.036036036036036036, 144), (0.036036036036036036, 81)]
ostdiek	47	[(1.0, 147)]
mailto:addresschg@ssrn.com	6	[(1.0, 3)]
deutsche	49	[(0.3877551020408163, 198), (0.32653061224489793, 151), (0.14285714285714285, 106), (0.08163265306122448, 184), (0.061224489795918366, 165)]
benhamou	8	[(1.0, 3)]
bibi/hou/ect@ect	36	[(0.7777777777777778, 114), (0.2222222222222222, 175)]
speach	6	[(1.0, 186)]
owens	6	[(0.3333333333333333, 131), (0.3333333333333333, 117), (0.16666666666666666, 179), (0.16666666666666666, 137)]
audrau@yahoo.com	22	[(1.0, 64)]
easier	71	[(0.16901408450704225, 194), (0.14084507042253522, 170), (0.14084507042253522, 121), (0.1267605633802817, 100), (0.11267605633802817, 39), (0.07042253521126761, 8), (0.056338028169014086, 199), (0.056338028169014086, 76), (0.04225352112676056, 171), (0.028169014084507043, 147), (0.028169014084507043, 64), (0.014084507042253521, 125), (0.014084507042253521, 79)]
perlman/hou/ect@ect	45	[(0.6444444444444445, 148), (0.2222222222222222, 69), (0.08888888888888889, 49), (0.044444444444444446, 97)]
schools	47	[(0.3829787234042553, 13), (0.23404255319148937, 108), (0.1276595744680851, 194), (0.0851063829787234, 97), (0.06382978723404255, 62), (0.06382978723404255, 8), (0.02127659574468085, 124), (0.02127659574468085, 89)]
lillian	9	[(0.5555555555555556, 64), (0.2222222222222222, 137), (0.2222222222222222, 97)]
series	375	[(0.18666666666666668, 105), (0.152, 147), (0.12, 198), (0.06666666666666667, 41), (0.064, 70), (0.056, 120), (0.04, 170), (0.032, 148), (0.032, 54), (0.02666666666666667, 196), (0.02666666666666667, 153), (0.021333333333333333, 179), (0.021333333333333333, 135), (0.018666666666666668, 108), (0.016, 3), (0.013333333333333334, 53), (0.013333333333333334, 24), (0.013333333333333334, 6), (0.010666666666666666, 118), (0.010666666666666666, 100), (0.010666666666666666, 74), (0.010666666666666666, 58), (0.008, 184), (0.008, 127), (0.008, 89), (0.008, 51), (0.0026666666666666666, 151), (0.0026666666666666666, 142)]
activeshield	9	[(1.0, 133)]
przesylce	8	[(1.0, 68)]
hejka	9	[(0.5555555555555556, 114), (0.4444444444444444, 79)]
keys	28	[(0.6071428571428571, 120), (0.21428571428571427, 50), (0.14285714285714285, 88), (0.03571428571428571, 73)]
for-profit	5	[(0.8, 55), (0.2, 179)]
problem-solving	6	[(1.0, 74)]
usaee	18	[(1.0, 176)]
foundation	45	[(0.26666666666666666, 21), (0.13333333333333333, 187), (0.13333333333333333, 76), (0.13333333333333333, 12), (0.08888888888888889, 184), (0.08888888888888889, 90), (0.044444444444444446, 58), (0.044444444444444446, 9), (0.044444444444444446, 4), (0.022222222222222223, 33)]
hanks/lon/ect@ect	6	[(0.6666666666666666, 95), (0.3333333333333333, 9)]
hassett	6	[(1.0, 165)]
conferencji	6	[(1.0, 147)]
sewanee	6	[(1.0, 130)]
kleindorfer	42	[(1.0, 153)]
enormous	29	[(0.20689655172413793, 165), (0.1724137931034483, 55), (0.13793103448275862, 114), (0.13793103448275862, 109), (0.13793103448275862, 76), (0.06896551724137931, 176), (0.06896551724137931, 122), (0.06896551724137931, 6)]
shipper	6	[(0.6666666666666666, 132), (0.3333333333333333, 37)]
silicon	15	[(0.5333333333333333, 192), (0.4666666666666667, 138)]
seade	6	[(1.0, 185)]
shipped	24	[(0.4166666666666667, 120), (0.3333333333333333, 131), (0.16666666666666666, 30), (0.08333333333333333, 54)]
speedy	8	[(0.5, 124), (0.25, 186), (0.25, 99)]
speeds	8	[(0.5, 138), (0.25, 101), (0.25, 72)]
channels	20	[(0.25, 138), (0.25, 131), (0.25, 100), (0.1, 141), (0.1, 27), (0.05, 54)]
langston	14	[(0.9285714285714286, 117), (0.07142857142857142, 177)]
clarity	16	[(0.25, 126), (0.25, 110), (0.125, 113), (0.125, 101), (0.125, 94), (0.125, 34)]
port/market	36	[(0.6666666666666666, 69), (0.16666666666666666, 24), (0.1111111111111111, 140), (0.05555555555555555, 146)]
lawsuits	28	[(0.42857142857142855, 52), (0.2857142857142857, 174), (0.17857142857142858, 76), (0.10714285714285714, 28)]
hypothetical	9	[(0.6666666666666666, 142), (0.3333333333333333, 81)]
http://www.nwfusion.com/reviews	5	[(0.8, 58), (0.2, 131)]
varnell/na/enron@enron	8	[(1.0, 83)]
showed	34	[(0.29411764705882354, 50), (0.23529411764705882, 165), (0.17647058823529413, 159), (0.08823529411764706, 14), (0.058823529411764705, 172), (0.058823529411764705, 95), (0.058823529411764705, 13), (0.029411764705882353, 25)]
illiquidity	18	[(1.0, 195)]
sycamore	10	[(1.0, 150)]
tree	59	[(0.3050847457627119, 70), (0.288135593220339, 121), (0.11864406779661017, 33), (0.11864406779661017, 8), (0.1016949152542373, 84), (0.06779661016949153, 38)]
project	1325	[(0.08981132075471698, 170), (0.07622641509433963, 134), (0.0649056603773585, 175), (0.061886792452830186, 136), (0.05811320754716981, 109), (0.047547169811320754, 192), (0.046037735849056606, 111), (0.045283018867924525, 149), (0.045283018867924525, 78), (0.040754716981132075, 144), (0.04, 89), (0.03320754716981132, 185), (0.03018867924528302, 191), (0.026415094339622643, 22), (0.02490566037735849, 155), (0.02490566037735849, 13), (0.01509433962264151, 118), (0.014339622641509434, 190), (0.014339622641509434, 96), (0.013584905660377358, 145), (0.013584905660377358, 90), (0.012075471698113207, 167), (0.012075471698113207, 112), (0.012075471698113207, 15), (0.011320754716981131, 14), (0.010566037735849057, 129), (0.009811320754716982, 152), (0.009811320754716982, 76), (0.009811320754716982, 38), (0.009811320754716982, 34), (0.009811320754716982, 25), (0.00830188679245283, 153), (0.007547169811320755, 48), (0.006792452830188679, 72), (0.0060377358490566035, 70), (0.005283018867924529, 169), (0.005283018867924529, 12), (0.0037735849056603774, 182), (0.0037735849056603774, 127), (0.0030188679245283017, 151), (0.0030188679245283017, 141), (0.0030188679245283017, 102), (0.0030188679245283017, 74), (0.0030188679245283017, 67), (0.0030188679245283017, 29), (0.0015094339622641509, 187)]
tion	10	[(0.4, 16), (0.2, 137), (0.2, 126), (0.1, 127), (0.1, 124)]
gibson/corp/enron@enron	6	[(1.0, 97)]
willingness	17	[(0.7058823529411765, 81), (0.23529411764705882, 176), (0.058823529411764705, 105)]
runprog	6	[(1.0, 194)]
shimko	10	[(0.6, 117), (0.2, 108), (0.2, 57)]
conf-ny@msn.com	28	[(1.0, 102)]
connelly	13	[(0.7692307692307693, 43), (0.23076923076923078, 105)]
recommended	81	[(0.13580246913580246, 190), (0.1111111111111111, 169), (0.09876543209876543, 18), (0.07407407407407407, 188), (0.07407407407407407, 173), (0.07407407407407407, 163), (0.07407407407407407, 127), (0.06172839506172839, 195), (0.06172839506172839, 12), (0.04938271604938271, 136), (0.04938271604938271, 25), (0.037037037037037035, 182), (0.037037037037037035, 43), (0.024691358024691357, 42), (0.024691358024691357, 8), (0.012345679012345678, 37)]
doors	19	[(0.5789473684210527, 8), (0.21052631578947367, 167), (0.10526315789473684, 176), (0.10526315789473684, 156)]
wells	58	[(0.3448275862068966, 190), (0.3448275862068966, 0), (0.13793103448275862, 186), (0.10344827586206896, 41), (0.06896551724137931, 137)]
entry	24	[(0.4166666666666667, 141), (0.16666666666666666, 189), (0.16666666666666666, 165), (0.125, 112), (0.125, 79)]
powertm	8	[(1.0, 101)]
camp	6	[(0.3333333333333333, 133), (0.3333333333333333, 94), (0.3333333333333333, 6)]
treasuries	23	[(0.7391304347826086, 178), (0.13043478260869565, 198), (0.13043478260869565, 169)]
meetings	242	[(0.19834710743801653, 171), (0.12396694214876033, 160), (0.10330578512396695, 170), (0.10330578512396695, 79), (0.06198347107438017, 190), (0.045454545454545456, 86), (0.045454545454545456, 13), (0.04132231404958678, 148), (0.04132231404958678, 3), (0.0371900826446281, 27), (0.03305785123966942, 159), (0.03305785123966942, 71), (0.028925619834710745, 50), (0.02066115702479339, 192), (0.02066115702479339, 109), (0.02066115702479339, 54), (0.01652892561983471, 29), (0.008264462809917356, 108), (0.008264462809917356, 94), (0.004132231404958678, 191), (0.004132231404958678, 15)]
bruce/na/enron@enron	6	[(1.0, 86)]
fingers	8	[(1.0, 50)]
reschedule	39	[(0.6923076923076923, 171), (0.15384615384615385, 6), (0.07692307692307693, 115), (0.05128205128205128, 9), (0.02564102564102564, 82)]
participate	241	[(0.1950207468879668, 197), (0.17012448132780084, 125), (0.12863070539419086, 86), (0.07053941908713693, 21), (0.06639004149377593, 13), (0.04979253112033195, 153), (0.03734439834024896, 115), (0.03319502074688797, 176), (0.029045643153526972, 163), (0.029045643153526972, 142), (0.024896265560165973, 12), (0.02074688796680498, 114), (0.02074688796680498, 108), (0.02074688796680498, 96), (0.016597510373443983, 135), (0.016597510373443983, 100), (0.012448132780082987, 140), (0.012448132780082987, 136), (0.012448132780082987, 97), (0.008298755186721992, 165), (0.008298755186721992, 55), (0.008298755186721992, 2), (0.004149377593360996, 80), (0.004149377593360996, 60)]
abreast	8	[(1.0, 194)]
lessons	25	[(0.4, 197), (0.2, 162), (0.12, 176), (0.08, 183), (0.08, 103), (0.04, 136), (0.04, 27), (0.04, 16)]
layout	8	[(0.75, 9), (0.25, 107)]
pcp@pop.ruf.rice.edu	6	[(1.0, 155)]
champaign	5	[(0.6, 3), (0.4, 168)]
gwillard@mit.edu	11	[(1.0, 124)]
pocket	13	[(0.3076923076923077, 164), (0.23076923076923078, 50), (0.15384615384615385, 64), (0.15384615384615385, 43), (0.15384615384615385, 14)]
sama@dynergy.com	7	[(1.0, 48)]
mulong	51	[(1.0, 41)]
mercator	6	[(1.0, 106)]
transferred	31	[(0.1935483870967742, 9), (0.12903225806451613, 181), (0.12903225806451613, 179), (0.12903225806451613, 54), (0.12903225806451613, 22), (0.12903225806451613, 8), (0.0967741935483871, 87), (0.06451612903225806, 165)]
resigned	11	[(0.36363636363636365, 117), (0.18181818181818182, 33), (0.18181818181818182, 27), (0.09090909090909091, 166), (0.09090909090909091, 102), (0.09090909090909091, 44)]
pressures	20	[(0.4, 77), (0.3, 183), (0.3, 27)]
nationwide	22	[(0.5454545454545454, 41), (0.18181818181818182, 109), (0.13636363636363635, 169), (0.09090909090909091, 81), (0.045454545454545456, 108)]
http://people.ft.com/ft/gx.cgi/ftc?pagename	12	[(1.0, 166)]
debt	146	[(0.3287671232876712, 88), (0.1917808219178082, 165), (0.13013698630136986, 106), (0.07534246575342465, 156), (0.0547945205479452, 140), (0.0410958904109589, 99), (0.03424657534246575, 0), (0.0273972602739726, 195), (0.0273972602739726, 167), (0.0273972602739726, 129), (0.0273972602739726, 66), (0.02054794520547945, 198), (0.0136986301369863, 15)]
fiis	5	[(1.0, 136)]
country	196	[(0.22959183673469388, 140), (0.17857142857142858, 192), (0.10204081632653061, 109), (0.07142857142857142, 27), (0.05102040816326531, 64), (0.04081632653061224, 50), (0.03571428571428571, 119), (0.030612244897959183, 153), (0.030612244897959183, 151), (0.030612244897959183, 92), (0.025510204081632654, 136), (0.025510204081632654, 129), (0.025510204081632654, 122), (0.02040816326530612, 158), (0.02040816326530612, 133), (0.02040816326530612, 127), (0.02040816326530612, 18), (0.015306122448979591, 0), (0.01020408163265306, 164), (0.01020408163265306, 20), (0.00510204081632653, 185)]
edgar	55	[(1.0, 184)]
planned	99	[(0.1111111111111111, 171), (0.10101010101010101, 192), (0.09090909090909091, 158), (0.09090909090909091, 124), (0.09090909090909091, 77), (0.09090909090909091, 48), (0.0707070707070707, 127), (0.050505050505050504, 184), (0.04040404040404041, 195), (0.04040404040404041, 151), (0.04040404040404041, 110), (0.04040404040404041, 31), (0.04040404040404041, 28), (0.030303030303030304, 56), (0.020202020202020204, 150), (0.020202020202020204, 126), (0.010101010101010102, 179), (0.010101010101010102, 176), (0.010101010101010102, 41)]
logic	11	[(0.5454545454545454, 165), (0.18181818181818182, 145), (0.18181818181818182, 56), (0.09090909090909091, 155)]
login	57	[(0.5087719298245614, 45), (0.3684210526315789, 194), (0.07017543859649122, 181), (0.05263157894736842, 107)]
argue	27	[(0.37037037037037035, 169), (0.2222222222222222, 198), (0.2222222222222222, 52), (0.18518518518518517, 195)]
contentious	10	[(0.4, 195), (0.3, 27), (0.3, 12)]
danilov/lon/ect@ect	14	[(0.6428571428571429, 66), (0.35714285714285715, 24)]
subsidy	5	[(1.0, 81)]
stadium	12	[(0.5, 88), (0.3333333333333333, 78), (0.16666666666666666, 112)]
privilege	23	[(0.30434782608695654, 10), (0.2608695652173913, 59), (0.17391304347826086, 58), (0.17391304347826086, 36), (0.08695652173913043, 63)]
dots	16	[(1.0, 76)]
graphical	9	[(0.4444444444444444, 72), (0.2222222222222222, 46), (0.1111111111111111, 194), (0.1111111111111111, 150), (0.1111111111111111, 26)]
worker	14	[(0.5714285714285714, 131), (0.35714285714285715, 170), (0.07142857142857142, 6)]
i's	9	[(1.0, 53)]
worked	210	[(0.18571428571428572, 170), (0.16666666666666666, 18), (0.11428571428571428, 13), (0.08571428571428572, 198), (0.05238095238095238, 155), (0.047619047619047616, 8), (0.04285714285714286, 162), (0.04285714285714286, 33), (0.0380952380952381, 121), (0.03333333333333333, 156), (0.03333333333333333, 90), (0.03333333333333333, 88), (0.03333333333333333, 72), (0.01904761904761905, 186), (0.014285714285714285, 168), (0.014285714285714285, 136), (0.014285714285714285, 92), (0.014285714285714285, 59), (0.014285714285714285, 50)]
unit's	5	[(1.0, 169)]
elicit	5	[(0.6, 111), (0.4, 142)]
anticipating	6	[(0.5, 87), (0.3333333333333333, 39), (0.16666666666666666, 99)]
damaged	6	[(0.6666666666666666, 136), (0.3333333333333333, 165)]
sz.pana	6	[(1.0, 68)]
damages	6	[(0.6666666666666666, 26), (0.16666666666666666, 47), (0.16666666666666666, 9)]
